中文名,外文名,机构属性,行动领域,细分行动领域,设立年份,所在地,官网,微信公众号,LinkedIn,机构介绍,参考资料
中外企业家联合会,Sino-International Entrepreneurs Federation (SIEF),国际组织年鉴,经贸合作,经贸合作-企业家网络,2008,北京,https://sief.org/,中欧企业家峰会,,,
世界政治经济学协会常设秘书处,World Association for Political Economy (WAPE),国际组织年鉴,金融治理,经济与金融-学术网络,2004,上海,https://wapeweb.org/,,,,
世界针灸学会联合会,World Federation of Acupuncture-Moxibustion Societies (WFAS),"国际性社会组织,国际组织年鉴",卫生健康,中医-针灸,1987,北京,https://www.wfas.org.cn/,世界针联,,,
世界中医药学会联合会,World Federation of Chinese Medicine Societies (WFCMS),"国际性社会组织,国际组织年鉴",卫生健康,中医药-行业组织,2003,北京,https://wfcms.org/,世界中医药学会联合会,,,
世界运河历史文化城市合作组织,World Historic and Cultural Canal Cities Cooperation Organization (WCCO),"国际性社会组织,国际组织年鉴",城市基建,城市治理-文化遗产合作,2009,江苏扬州,https://www.wcco.org.cn/,世界运河名城,,,
世界食用菌生物学与产品学会,World Society for Mushroom Biology and Mushroom Products (WSMBMP),国际组织年鉴,农业食品,农业生物-真菌学,1993,上海,https://www.saas.sh.cn/WSMBMP,漫步菇道,,,
世界旅游联盟北京办公室,World Tourism Alliance (WTA) Beijing Office,国际组织年鉴,文体交流,旅游产业-行业合作,2017,北京,https://www.wta-web.org/eng,世界旅游联盟,,,
世界旅游城市联合会,World Tourism Cities Federation (WTCF),"国际性社会组织,国际组织年鉴",文体交流,城市与建筑-地方政府交流,2012,北京,https://en.wtcf.org.cn/,世界旅游城市联合会,,,
亚太临床营养学会,Asia Pacific Clinical Nutrition Society (APCNS),国际组织年鉴,卫生健康,医学-营养学,1992,山东青岛,https://apcns.ac/,APJCN,,,
亚太智能卡协会上海办公室,Asia Pacific Smart Card Association (APSCA) China,国际组织年鉴,数字信息,数字技术-智能卡,1997,上海,https://www.apsca.org/,,,,
亚太远程眼科协会,Asia Pacific Tele-Ophthalmology Society (APTOS),国际组织年鉴,卫生健康,远程医疗-眼科,2016,广东广州,https://asiateleophth.org/,APTOS,,,
亚太区顶级域名组织秘书处,Asia Pacific Top Level Domain Association (APTLD) Secretariat,国际组织年鉴,数字信息,互联网治理-域名系统,2013,北京,https://aptld.org/,,,,
亚洲及太平洋地区催化协会,Asia-Pacific Association of Catalysis Societies (APCS),国际组织年鉴,学术研究,化学工程-催化,2004,辽宁大连,https://www.apacs.dicp.ac.cn/index.htm,,,,
亚太地区教育质量保障组织,Asia-Pacific Quality Network (APQN),国际组织年鉴,教育培养,高等教育-质量保障,2003,上海,https://www.apqn.org/,,,,
亚太民族音乐学会,Asia-Pacific Society for Ethnomusicology (APSE),国际组织年鉴,文体交流,民族音乐-文化研究,1994,福建福州,,,,,
亚洲化感作用学会,Asian Allelopathy Society (AAS),国际组织年鉴,农业食品,农业生态-植物化感,2009,广东广州,,,,,
亚洲养蜂联合会,Asian Apicultural Association (AAA),国际组织年鉴,农业食品,农业-蜂业,1993,北京,https://www.asiaapiculture.org/,,,,
亚洲农业工程协会,Asian Association for Agricultural Engineering (AAAE),国际组织年鉴,农业食品,农业工程-综合,2009,北京,https://aaaesociety.org/,,,,
亚洲企业孵化协会常设秘书处,Asian Association of Business Incubation (AABI),国际组织年鉴,经贸合作,创新创业-孵化器网络,2002,上海,https://www.aabi.info/,,,,
亚洲植物病理学会联合会,Asian Association of Societies for Plant Pathology (AASPP),国际组织年鉴,农业食品,植物保护-病理学,2000,北京,https://www.isppweb.org/AASPP/,,,,
亚洲龙舟联合会,Asian Dragon Boat Federation (ADBF),国际组织年鉴,文体交流,体育-龙舟运动,2012,广东佛山,,,,,
亚洲地理学会秘书处,Asian Geographical Association (AGA) Secretariat,国际组织年鉴,学术研究,地理学-综合,2018,北京,http://www.asiageo.net/,,,,
亚洲审计组织秘书处,Asian Organization of Supreme Audit Institutions (ASOSAI) Secretariat,国际组织年鉴,政策治理,公共治理-国家审计合作,2018,北京,https://asosai.org/asosai/,,,,
亚洲古生物学协会,Asian Palaeontological Association (APA),国际组织年鉴,学术研究,古生物学-综合,2019,江苏南京,http://apa-assoc.com/,,,,
亚洲男科学学会,Asian Society of Andrology (ASA),国际组织年鉴,卫生健康,医学-男科,2000,上海,https://www.asiaandro.com/,Asian J Andrology,,,
亚洲冷冻治疗学会,Asian Society of Cryosurgery (ASC),国际组织年鉴,卫生健康,医学-冷冻治疗,2012,广东广州,http://www.asiancryosurgery.org/,,,,
亚洲合成生物学协会,Asian Synthetic Biology Association (ASBA),国际组织年鉴,数字信息,生物技术-合成生物学,2018,广东深圳,https://synbioasia.org/,iSynBio爱星博,,,
亚洲大学联盟,Asian Universities Alliance (AUA),国际组织年鉴,教育培养,高等教育-大学合作网络,2017,北京,http://www.asianuniversities.org/,,,,
亚洲大学生体育联合会,Asian University Sports Federation (AUSF),"国际性社会组织,国际组织年鉴",文体交流,体育-大学体育赛事,1992,北京,https://www.ausf.org/,,,,
亚太细胞生物学组织,Asian-Pacific Organization for Cell Biology (APOCB),国际组织年鉴,学术研究,细胞生物学-综合,1988,上海,http://apocb.com/,,,,
中国-北欧北极研究中心,China-Nordic Arctic Research Center (CNARC),国际组织年鉴,学术研究,科研合作-中北欧交流,2013,上海,https://www.pric.org.cn/,雪龙探极,,,
亚洲-大洋洲免疫学联盟常设秘书处,Federation of Immunological Societies of Asia-Oceania (FIMSA) Secretariat,国际组织年鉴,卫生健康,医学-免疫学,2017,北京,,,,,
丝绸之路国际博物馆联盟,International Alliance of Museums of the Silk Road (IAMS),国际组织年鉴,文体交流,文化遗产-博物馆合作,2017,北京,https://www.musesilkroad.com/,,,,
国际结构安全性与可靠性学会,International Association for Structural Safety and Reliability (IASSAR),国际组织年鉴,物流交通,土木工程-结构安全,1969,上海,http://iassar.net/,,,,
国际数字地球学会,International Society for Digital Earth (ISDE),"国际性社会组织,国际组织年鉴",数字信息,遥感-数字地球,2004,北京,https://www.digitalearth-isde.org/,国际数字地球学会,,,
国际建成环境学会,International Society of the Built Environment (ISBE),国际组织年鉴,政策治理,城市与建筑-综合,1989,江苏南京,https://www.isbe.uk/cn/,,,,
世界泥沙研究学会,World Association for Sedimentation and Erosion Research (WASER),"国际性社会组织,国际组织年鉴",物流交通,水利-泥沙治理,2004,北京,http://www.waser.cn/waser/index.htm,,,,
世界中餐业联合会,World Federation of Chinese Catering Industry (WFCCI),"国际性社会组织,国际组织年鉴",经贸合作,餐饮产业-行业合作,1991,北京,https://www.wfcci.cn/,世界中餐业联合会,,,
亚洲轮滑联合会,World Skate Asia (WSA),国际组织年鉴,文体交流,体育-轮滑运动,2006,北京,https://www.worldskateasia.com/,,,,
亚太港口服务组织,APEC Port Services Network (APSN),"国际性社会组织,国际组织年鉴",物流交通,港口物流-APEC政府合作平台,2008,北京,https://apsn.glueup.cn/org/apsn,亚太港口服务组织,,,
中国-东盟中心,ASEAN-China Centre (ACC),国际组织年鉴,政策治理,区域合作-政府间机制,2011,北京,http://www.asean-china-center.org/,ASEAN-China Centre 中国-东盟中心,,,
亚太材料科学院,Asia Pacific Academy of Materials (APAM),国际组织年鉴,学术研究,材料科学-学术合作,1992,广东广州,http://www.apam-mat.net/,,,,
亚太森林恢复与可持续管理组织,Asia-Pacific Network for Sustainable Forest Management and Rehabilitation (APFNet),"国际性社会组织,国际组织年鉴",气候能源,森林治理-联合国合作网络,2008,北京,https://www.apfnet.cn/,亚太森林恢复与可持续管理组织,,,
亚太空间合作组织,Asia-Pacific Space Cooperation Organization (APSCO),国际组织年鉴,政策治理,航天合作-政府间组织,1992,北京,http://www.apsco.int/,,,,
亚洲未来加速器委员会,Asian Committee for Future Accelerators (ACFA),国际组织年鉴,学术研究,高能物理-加速器科学,1996,北京,http://www.acfa-forum.net/,,,,
亚洲流体力学委员会,Asian Fluid Mechanics Committee (AFMC),国际组织年鉴,学术研究,流体力学-综合,1980,北京,https://www.afmc.org.cn/,,,,
亚洲公共行政学会,Asian Association for Public Administration (AAPA),国际组织年鉴,政策治理,公共管理-治理研究,2010,北京,https://aapa.asia/,,,,
亚洲大洋洲核医学院,Asia Oceania School of Nuclear Medicine Office (AOSNM),国际组织年鉴,卫生健康,医学-核医学教育,2003,上海,https://aofnmb.org/aosnm/,AOFNMB秘书处,,,
亚洲地震委员会,Asian Seismological Commission (ASC),国际组织年鉴,气候能源,地震学-防灾减灾,1996,北京,https://www.asc-iaspei.org/,,,,
联合国粮农组织水产养殖及内陆渔业研究和培训参考中心,Asian-Pacific Regional Research and Training Centre for Integrated Fish Farming (IFFC),国际组织年鉴,农业食品,渔业发展-粮农组织合作培训中心,1978,江苏无锡,,中国水科院淡水渔业研究中心,,,
博鳌亚洲论坛,Boao Forum for Asia (BFA),"国际性社会组织,国际组织年鉴",政策治理,区域治理-经济合作,2001,北京,https://english.boaoforum.org/,博鳌亚洲论坛,,,
联合国可持续农业机械化中心,Centre for Sustainable Agricultural Mechanization (CSAM),国际组织年鉴,农业食品,农业工程-可持续机械化,2002,北京,https://un-csam.org/,联合国可持续农业机械化中心,,,
冈瓦纳研究国际协会,International Association for Gondwana Research (IAGR),国际组织年鉴,学术研究,地球科学-古地理与板块构造,1996,北京,https://iagrglobal.org/,,,,
联合国教科文组织国际自然与文化遗产空间技术中心,International Centre on Space Technologies for Natural and Cultural Heritage (HIST) under the auspices of UNESCO,国际组织年鉴,文体交流,航天遥感-文化与自然遗产保护,2011,北京,https://www.unesco-hist.org/,国际自然与文化遗产空间技术中心,,,
国际气候委员会,International Commission on Climate (ICCL),国际组织年鉴,气候能源,气候变化-环境政策研究,1977,北京,https://www.iamas.org/iccl/,,,,
国际磨料技术委员会,International Committee for Abrasive Technology (ICAT),国际组织年鉴,学术研究,材料工程-磨料与加工技术,2002,广东深圳,https://meygao.people.ust.hk/ICAT/,,,,
国际矿山安全科学与工程委员会,International Committee on Mine Safety Science and Engineering (ICMSSE),国际组织年鉴,气候能源,矿业安全-工程防灾,2017,北京,https://www.icmsse.com/,,,,
国际儒学联合会,International Confucian Association (ICA),"国际性社会组织,国际组织年鉴",文体交流,人文社科-儒学与文明对话,1994,北京,https://en.ica.org.cn/,国际儒学联合会,,,
国际生态安全合作组织,International Ecological Safety Collaborative Organization (IESCO),国际组织年鉴,气候能源,环境与生态-环境治理,2006,北京,,,,,
国际介观结构材料学会秘书处,International Mesostructured Materials Association (IMMA),国际组织年鉴,学术研究,材料科学-纳米多孔材料,2000,上海,https://mesostructured.org/,,,,
联合国教科文组织国际泥沙研究培训中心,International Research and Training Centre on Erosion and Sedimentation (IRTCES) under the auspices of UNESCO,国际组织年鉴,气候能源,水利工程-泥沙治理,1984,北京,http://en.irtces.org/irtces/index.htm,中国水利水电科学研究院,,,
国际药用菌学会北京办事处,International Society for Medicinal Mushrooms (ISMM) Beijing Office,国际组织年鉴,卫生健康,医药生物-药用真菌,2013,北京,http://www.ismm2013.com/,国际药用菌学会,,,
国际泥沙计划,International Sediment Initiative (ISI),国际组织年鉴,气候能源,水资源治理-泥沙管理,2002,北京,http://isi.irtces.org/,中国水利水电科学研究院,,,
国际动物学会,International Society of Zoological Sciences (ISZS),"国际性社会组织,国际组织年鉴",卫生健康,生命科学-动物学研究,2004,北京,http://www.globalzoology.org.cn/,国际动物学会,,,
联合国教科文组织亚太地区非物质文化遗产国际培训中心,International Training Center for Intangible Cultural Heritage in the Asia-Pacific Region (CRIHAP) under the auspices of UNESCO,国际组织年鉴,文体交流,文化遗产-非物质文化遗产保护,2012,北京,https://en.crihap.cn/,非遗国际培训中心CRIHAP,,,
金砖国家新开发银行,New Development Bank (NDB),国际组织年鉴,金融治理,多边开发银行-基础设施融资,2014,上海,https://www.ndb.int/,新开发银行,,,
国际北极科学委员会北冰洋太平洋扇区工作组,Pacific Arctic Group (PAG),国际组织年鉴,学术研究,极地研究-区域合作网络,2005,上海,https://pag.arcticportal.org/,,,,
上海合作组织秘书处,Shanghai Cooperation Organization (SCO),国际组织年鉴,政策治理,区域安全-政治互信,2001,北京,https://eng.sectsco.org/,上海合作组织秘书处,,,
丝绸之路城市联盟,Silk Road Cities Alliance (SRCA),国际组织年鉴,城市基建,城市与建筑-丝路发展,2014,北京,http://srca-info.com/srca/en/,丝绸之路城市联盟,,,
联合国环境规划署国际生态系统管理伙伴计划,United Nations Environment Programme-International Ecosystem ManagementPartnership (UNEP-IEMP),国际组织年鉴,气候能源,生态系统管理-联合国合作项目,2011,北京,http://www.unep-iemp.org/,联合国环境规划署,,,
联合国工业发展组织国际太阳能技术促进转让中心,Gansu Natural Energy Research Institute (GNERI) / UNIDO International Solar Energy Center for Technology Promotion and Transfer (ISEC-UNIDO),国际组织年鉴,气候能源,可再生能源-太阳能技术转移,2006,甘肃兰州,http://www.gneri.com.cn/,甘肃自然能源研究所,,,
世界医学气功学会,World Academic Society of Medical Qigong (WASMQ),"国际性社会组织,国际组织年鉴",卫生健康,传统医学-气功健康,1989,北京,http://www.wasmq88.com/,世界医学气功学会,,,
世界微生物数据中心,World Data Centre for Microorganisms (WDCM),国际组织年鉴,数字信息,生物信息-微生物资源数据库,2011,北京,https://wdcm.org/,,,,
亚太地质公园网络,Asia Pacific Geoparks Network (APGN),国际组织年鉴,气候能源,地质遗产-地质公园治理,2007,北京,http://asiapacificgeoparks.org/,,,,
亚太地区辐射防护最优化网络,Asia and the Pacific Regional ALARA Network (ARAN),国际组织年鉴,政策治理,核安全-辐射防护,2007,山西太原,http://www.ap-alara.com/,中国辐射防护研究院,,,
亚洲基础设施投资银行,Asian Infrastructure Investment Bank (AIIB),国际组织年鉴,金融治理,多边开发银行-基础设施投资,2015,北京,https://www.aiib.org/,亚洲基础设施投资银行,,,
亚洲基础设施投资银行雄安办公室,,,,,,河北雄安新区,,,,,
亚洲大学校长论坛,Asian University Presidents Forum (AUPF),国际组织年鉴,教育培养,高等教育-大学合作网络,2002,广东广州,https://aupf.gdufs.edu.cn/,,,,
世界地质公园网络办公室,Global Geoparks Network (GGN),国际组织年鉴,气候能源,地质遗产-地质公园,2004,北京,https://www.globalgeoparksnetwork.org/,国家地质公园网络中心,,,
全球市长论坛,Global Mayors' Forum (GMF),国际组织年鉴,城市基建,城市治理-市长交流,2005,广东深圳,http://www.hk-imcc.com/,绿色城市GCPS,,,
大图们倡议,Greater Tumen Initiative (GTI),国际组织年鉴,经贸合作,区域合作-经贸投资,1995,北京,http://www.tumenprogramme.org/,,,,
国际金融论坛,International Finance Forum (IFF),国际组织年鉴,金融治理,经济与金融-国际对话平台,2003,北京,https://www.iff.org.cn/,国际金融论坛,,,
南沙国际金融永久论坛（国际金融论坛永久会址）,The International Finance Forum (IFF) Permanent Site,,,,2017,广东广州,https://www.iff.org.cn/,国际金融论坛,,,
国际竹藤组织,International Network for Bamboo and Rattan (INBAR),国际组织年鉴,农业食品,林业与生态-竹藤资源,1997,北京,https://www.inbar.int/,国际竹藤组织,,,
东亚思想库网络,Network of East Asian Think-Tanks (NEAT),国际组织年鉴,政策治理,区域治理-智库网络,2003,北京,https://neat.org.ph/,亚洲区域合作研究,,,
亚洲血吸虫病与其他重要人畜共患蠕虫病区域网络,"Regional Network for Research, Surveillance and Control for Asian Schistosomiasis (RNAS)",国际组织年鉴,卫生健康,公共卫生-寄生虫病防控,1998,上海,https://rnas.ipd.org.cn/,中国疾病预防控制中心寄生虫病预防控制所/中国双寄,,,
表层海洋-低层大气研究计划,Surface Ocean - Lower Atmosphere Study (SOLAS),国际组织年鉴,学术研究,海洋科学-大气相互作用,2004,福建厦门,https://www.solas-int.org/,海洋生物地球化学全国重点实验室,,,
亚太财经与发展学院,Asia-Pacific Finance and Development Institute (AFDI),国际组织年鉴,金融治理,经济与金融-金融能力建设,2014,上海,https://www.afdi.org.cn/,上海国家会计学院,,,
中非合作论坛,Forum on China-Africa Cooperation (FOCAC),国际组织年鉴,政策治理,政府间合作机制-发展合作,2000,北京,https://www.focac.org/,直通非洲,,,
国际竹藤中心,International Centre for Bamboo and Rattan (ICBR),国际组织年鉴,农业食品,林业与生态-竹藤资源,2000,北京,https://www.icbr.ac.cn/,国际竹藤中心,,,
联合国教科文组织高等教育创新中心（中国深圳）,International Centre for Higher Education Innovation under the Auspices of UNESCO (UNESCO-ICHEI),国际组织年鉴,教育培养,高等教育-教育创新,2016,广东深圳,https://en.ichei.org/,UNESCO ICHEI,,,
国际沙棘研究与培训中心,International Centre for Research and Training on Seabuckthorn (ICRTS),国际组织年鉴,农业食品,农业与生态-沙棘资源开发,1995,北京,https://www.isahome.net/,ISA国际沙棘协会,,,
国际气候与环境科学中心,International Center of Climate and Environmental Sciences (ICCES),国际组织年鉴,气候能源,气候变化-环境监测与研究,1991,北京,http://www.icces.ac.cn/,中国科学院大气物理研究所,,,
联合国教科文组织全球尺度地球化学国际研究中心,International Centre on Global-Scale Geochemistry (ICGG) under the auspices of UNESCO,国际组织年鉴,学术研究,地球化学-全球变化研究,2016,河北廊坊,http://www.globalgeochemistry.com/en,化学地球ChemicalEarth,,,
国际小水电联合会,International Network on Small Hydro Power (INSHP),"国际性社会组织,国际组织年鉴",气候能源,能源-小水电技术推广,1994,浙江杭州,http://www.inshp.org/,国际小水电中心/绿色小水电建设,,,
国际小水电中心,International Center on Small Hydro Power (ICSHP) ,,气候能源,,1994,浙江杭州,http://www.inshp.org/,国际小水电中心/绿色小水电建设,,,
国际华人骨研学会,International Chinese Musculoskeletal Research Society (ICMRS),国际组织年鉴,卫生健康,医学-骨科与肌肉骨骼科学,1994,四川成都,https://www.icmrs.net/,国际华人骨研学会,,,
国际智能制造联盟,International Coalition of Intelligent Manufacturing (ICIM),"国际性社会组织,国际组织年鉴",产业制造,智能制造-工业数字化合作,2023,北京,https://www.icim.org.cn/,国际智能制造联盟,,,
可持续发展大数据国际研究中心,International Research Center of Big Data for Sustainable Development Goals (CBAS),国际组织年鉴,数字信息,大数据-可持续发展,2020,北京,https://www.cbas.ac.cn/,可持续发展大数据国际研究中心,,,
国际沙棘协会,International Seabuckthorn Association (ISA),"国际性社会组织,国际组织年鉴",农业食品,农业生态-沙棘产业与科研网络,1999,北京,https://www.isahome.net/,ISA国际沙棘协会,,,
世界汉语教学学会,International Society for Chinese Language Teaching (ISCLT),"国际性社会组织,国际组织年鉴",教育培养,语言教育-对外汉语教学,1987,北京,https://shihan-org.chinese.cn/,世界汉语教学学会,,,
国际知识与系统科学学会,International Society for Knowledge and Systems Sciences (ISKSS),国际组织年鉴,数字信息,系统科学-知识工程,2003,北京,http://meta-synthesis.amss.cas.cn/MS_Portal/ISKSS/Home/,中国系统工程学会,,,
竺可桢-南森国际研究中心,Nansen-Zhu International Research Centre (NZC),国际组织年鉴,气候能源,气候变化-极地研究,2003,北京,https://nzc.iap.ac.cn/,中国科学院大气物理研究所,,,
联合国教科文组织国际农村教育研究与培训中心,UNESCO International Research and Training Centre for Rural Education (UNESCO INRULED),国际组织年鉴,教育培养,教育发展-农村教育,1994,北京,https://inruled.bnu.edu.cn/,UNESCO INRULED,,,
世界生物系统科学与工程联合会,World Associates for Biosystem Science and Engineering (WABSE),国际组织年鉴,,生物系统工程-农业与生态工程,1999,广东广州,http://www.sysynbio.net/,,,,
世界生态设计组织,World Eco-Design Organization (WEDO),国际组织年鉴,产业制造,绿色设计-可持续产业,2018,广东广州,https://www.wedo2018.com.cn/,世界生态设计组织,,,
联合国教科文组织亚太地区世界遗产培训与研究中心,World Heritage Institute of Training and Research for the Asia and the Pacific Region under the auspices of UNESCO (WHITR-AP),国际组织年鉴,文体交流,文化遗产-世界遗产保护,2008,上海,https://www.whitr-ap.org/,亚太遗产中心,,,
世界机器人合作组织,World Robot Cooperation Organization (WRCO),"国际性社会组织,国际组织年鉴",产业制造,机器人产业-智能制造,2022,北京,https://www.wrco.org.cn/,世界机器人合作组织,,,
世界象棋联合会,World Xiangqi Federation (WXF),国际组织年鉴,文体交流,体育-象棋运动治理,1993,北京,https://www.wxf-xiangqi.org/,,,,
亚欧科技创新合作中心,ASEM Cooperation Centre for Science Technology and Innovation (ASEM-CCSTI),国际组织年鉴,政策治理,科技合作-亚欧政府间机制,2015,北京,http://www.aseminnovation.org.cn/en,,,,
亚太设计中心,Asia Pacific Design Centre (APDC),国际组织年鉴,文体交流,工业设计-创意产业合作,2010,上海,http://www.apdc-awards.org/,APDC亚太设计中心,,,
亚太足踝外科学会,Asia-Pacific Society of Foot and Ankle Surgeons (APSFAS),国际组织年鉴,卫生健康,医学-骨科与足踝外科,2011,重庆,,西南医院,,,
亚太介入肿瘤学会,Asia-Pacific Society of Interventional Oncology (APSIO),国际组织年鉴,卫生健康,医学-肿瘤介入治疗,2010,北京,,,,,
亚洲泥石流学会,Asian Network on Debris Flow (ANDF),国际组织年鉴,气候能源,地质灾害-泥石流防灾减灾,2010,四川成都,,,,,
“一带一路”绿色发展国际联盟,BRI International Green Development Coalition (BRIGC),"国际性社会组织,国际组织年鉴",气候能源,环境与生态-生态环境治理,2019,北京,http://en.brigc.net/,一带一路绿色发展国际联盟BRIGC,,,
全球服务贸易联盟,Global Alliance for Trade in Services (GATIS),"国际性社会组织,国际组织年鉴",金融治理,服务贸易-经贸规则与行业合作,2022,北京,http://en.megatis.org/,全球服务贸易联盟,,,
全球修辞学会,Global Rhetoric Society (GRS),国际组织年鉴,文体交流,人文社科-修辞与传播研究,2012,北京,http://worldrhetoric.com/,修辞学研究,,,
国际汉旺论坛,International Hanwang Forum (IHF),国际组织年鉴,文体交流,文化交流-区域对话平台,2012,北京,https://pghanwangforum.com/,可持续发展专委会,,,
国际丝绸之路纺织品研究协会,International Association for the Study of Silk Road Textiles (IASSRT),国际组织年鉴,文体交流,文化遗产-丝路纺织考古与研究,2015,浙江杭州,https://www.sasr.com.cn/#/DetailsOfTheSilkRoad?id=3,丝绸与丝路,,,
国际二氧化碳捕集利用封存技术创新合作组织,"International Carbon Capture, Utilization and Storage (CCUS) Technology Innovation & Cooperation Organization (ICTO)","国际性社会组织,国际组织年鉴",气候能源,气候技术-CCUS,2025,北京,https://english.cast.org.cn/#,CCUS产业技术创新战略联盟,,,
国际商事争端预防与解决组织,International Commercial Dispute Prevention and Settlement Organization (ICDPASO),"国际性社会组织,国际组织年鉴",政策治理,商事仲裁-争端解决,2020,北京,http://en.icdpaso.org/,国际商事争端预防与解决组织,,,
国际粉体检测与控制联合会,International Federation of Measurement and Control of Granular Materials (IFMCGM),"国际性社会组织,国际组织年鉴",产业制造,材料工程-颗粒物测控技术,1996,辽宁沈阳,http://www.ifmcgm.cn/,CIEPA,,,
国际汽车轻量化绿色科技联盟,International GREEN Auto Lightweight Technology Alliance (IALTA),国际组织年鉴,产业制造,汽车工程-节能减排,2006,上海,http://en.ialta.org.cn/,中欧SENIA,,,
国际氢能燃料电池协会,International Hydrogen Fuel Cell Association (IHFCA),"国际性社会组织,国际组织年鉴",气候能源,新能源-氢能与燃料电池,2022,北京,http://www.ihfca.net/web/index.aspx,国际氢燃料电池协会,,,
联合国教科文组织国际工程科技知识中心,International Knowledge Centre for Engineering Sciences and Technology (IKCEST) under the Auspices of UNESCO,国际组织年鉴,教育培养,工程科技-能力建设,2014,北京,https://www.ikcest.org/index.htm,知领,,,
中国国际减贫中心,International Poverty Reduction Center in China (IPRCC),国际组织年鉴,政策治理,减贫发展-南南合作,2005,北京,https://www.iprcc.org/,中国国际减贫中心,,,
国际管理科学与工程管理学会中国办公室,International Society of Management Science and Engineering Management (ISMSEM) China Office,国际组织年鉴,教育培养,管理科学-工程管理,2007,四川成都,https://icmsem.org/,管理科学与工程学会工程管理分会,,,
